id,screen_name,location
613909021515489280,souIpvnk,basspod
613909021515489280,kristinxo_,
613909021515489280,uhleeez,some place higher
613909021515489280,rosexo_,
613909021515489280,Brandon_6894,Neue Jersey 
613909021515489280,marisela96_,"Denton, TX"
613909021515489280,lexxxx_x,
613909021515489280,SparkzEZ,Australia
613909021515489280,carolinafs5,"España, Castellón"
613909021515489280,itsannafarida,+62
613909021515489280,foryoungjul23,ozamiz city
613909021515489280,hesfedxra,1d & spn lover.
613909021515489280,mcnulty_johnny,"San Jose, CA"
613909021515489280,aputunn,South Florida 
613909021515489280,98dralog,México
613909021515489280,i_stalkjay,"South Miami, FL"
613909021515489280,johnnyhakttttt,
613909021515489280,JanetBieber152,"Miami, FL"
613909021515489280,tombeckmann2,
613380285405765632,SparkzEZ,Australia
613380285405765632,NajibRizky,
613380285405765632,foryoungjul23,ozamiz city
613380285405765632,98dralog,México
613380285405765632,beatbeud,"Bogor, Indonesia"
613380285405765632,UltraBali,"Bali, Indonesia"
613380285405765632,vanessayasminv1,"Viña del Mar, Valparaíso"
613380285405765632,maharaja5426nig,
613380285405765632,ridho020,T R A N C E 
613380285405765632,MATIASibarraP,"Rancagua, Libertador General B"
613380285405765632,deepshah__,"Mumbai, India"
613380285405765632,deniadiyasa,
613380285405765632,skrillexalien,"Buenos Aires, Argentina"
613380285405765632,Jota_Sotomayor,Miami ✈
613380285405765632,maginwalo,"Anytime, Anywhere ! ⚫️⚫️⚫️"
613380285405765632,nishchaymehta17,In your heart.
613380285405765632,isaelicer,Chile
613380285405765632,imanuel_rey,worlwide
613380285405765632,motohirola,"Yokohama,Japan"
613380285405765632,letspartydance,
613064243081007105,matias_carlos98,Santander - España 
613064243081007105,ElectronicaPy_,Paraguay
613064243081007105,jpsilva_11,
613064243081007105,diegocolca,Ciudadano del Planeta Tierra
613064243081007105,Guille16FC,Panamá
613064243081007105,soyrichardth,snap: thijeratt
613064243081007105,Jacq_Ja,Donde estén mis amigos.
613064243081007105,magdeacero,"Salinas, Ecuador "
613064243081007105,jscs_101,Colombia
613064243081007105,stighanna,"Asuncion, Paraguay"
613064243081007105,MaJi_O,"Lima,Peru"
613064243081007105,Prodigy4U2NV,"Johannesburg, South Africa"
613064243081007105,pameyt97,Argentina - Perú 
613064243081007105,ActualidadEDM,Paraguay
613064243081007105,Fiorella_Sg,not politically correct
613064243081007105,zaira_fp,Perú
613064243081007105,kissmartinx,➕✖️
612989025528315909,akbarabddd,
612989025528315909,Rhiftyaaa_,"Jakarta, Indonesia"
612989025528315909,keibaimap,japan
612989025528315909,Aring1009,
612989025528315909,japan2eire,japan
612989025528315909,airasiajp,"Nagoya, Japan"
612989025528315909,Ramadhanii_19,
612989025528315909,SparkzEZ,Australia
612989025528315909,RistinaWlndri,"Bali, Indonesia"
612989025528315909,foryoungjul23,ozamiz city
612989025528315909,98dralog,México
612989025528315909,edm_flyer_ns,
612989025528315909,EDM_Pulse_USA,Las Vegas / Miami - USA
612989025528315909,SofianRFL,Ilmu Ekonomi UII'15
612989025528315909,ameeeeelllll,surround the black box.  
612989025528315909,emwowo,UNTERWEGS / GERMANY 
612989025528315909,siellagee,MÉU - Bandung
612989025528315909,mikeyfford95,
612989025528315909,MuhammadRvld,"Denpasar, Bali"
611534065464782848,Kevin_richard3,"DKI Jakarta, Indonesia"
611534065464782848,jpsilva_11,
611534065464782848,ccsquint,Live in the moment. duh! 
611534065464782848,SparkzEZ,Australia
611534065464782848,foryoungjul23,ozamiz city
611534065464782848,ziacos,
611534065464782848,mamimami232,"İzmir, Türkiye"
611534065464782848,UltraBali,"Bali, Indonesia"
611534065464782848,emwowo,UNTERWEGS / GERMANY 
611534065464782848,BrayanSuarez12,
611534065464782848,nishchaymehta17,In your heart.
611534065464782848,SoyJoseCarloSs,Guatemala City/Mis PatriotsNFL
611534065464782848,atuatuchikuchi1,
611534065464782848,ridho020,T R A N C E 
611534065464782848,_LeandroGh,RN - General Roca.
611534065464782848,xeinn_2k,####MEXICO####       
610547390592983040,Fashion__Ryota,Fashion関係の仕事するのが夢‥‥
610547390592983040,ivissssshhhh,"Cypress,Texas"
610547390592983040,179Xpartan,En villahermosa
610547390592983040,Joanaaaa_22,Porto 
610547390592983040,SparkzEZ,Australia
610547390592983040,foryoungjul23,ozamiz city
610547390592983040,keibns,
610547390592983040,sarah17_pr,
610547390592983040,eedrickk,
610547390592983040,diazpr95,
610547390592983040,milicucchiani,San Martín de los Andes
610547390592983040,SCA_ike,正和➢➢➢桑業last (next)CNA
610547390592983040,mariju_mundo,donde esta dylan o'brien
610547390592983040,Naoyukireal,目黒 ⇔新宿
610547390592983040,Aripurnamarezky,"Sulawesi Tenggara, Indonesia"
609758391796281344,RandiDRM,JAKARTA
609758391796281344,jpsilva_11,
609758391796281344,Prodigy4U2NV,"Johannesburg, South Africa"
609758391796281344,MaicolOlmos,Panama
609758391796281344,criplans7,Barcelona.
609758391796281344,SparkzEZ,Australia
609758391796281344,roquecantero2,Paraguay
609758391796281344,febrinadwi5,Indonesia
609758391796281344,foryoungjul23,ozamiz city
