id,screen_name,location
836415732321669121,Furbmaster,
836415732321669121,lalixxxa,
836415732321669121,BeAlrightbae26,
836415732321669121,guilhemgrvx,Bates Motel
836415732321669121,Niciii_W,
836415732321669121,MicaelaClif,México
836415732321669121,elviramedinaflo,
836415732321669121,kayla_Gagnon,Canada
836415732321669121,NynaRaina,
836415732321669121,Drewrris,"London, England"
836415732321669121,udontknowalicia,The Pack
836415732321669121,iJesiccaaaaa,ms's
836415732321669121,emilyspengler,probably by the food
836415732321669121,KingvimalRaj,
836415732321669121,thebirong,"DKI Jakarta, Indonesia"
836415732321669121,AnisahShawty,"Semarang, INDONESWAG"
836415732321669121,markyyong_,YG Entertainment
836415732321669121,rishia_amanda,"Sarawak, Malaysia"
836415732321669121,geraldine_mr,Venezuela 
836411162023477248,EleBF99,
836411162023477248,BeAlrightbae26,
836411162023477248,guilhemgrvx,Bates Motel
836411162023477248,Niciii_W,
836411162023477248,MicaelaClif,México
836411162023477248,petitabrooks,Approximately 10 minutes late.
836411162023477248,kayla_Gagnon,Canada
836411162023477248,damonsyren,
836411162023477248,Drewrris,"London, England"
836411162023477248,kobayan121261,卒業式
836411162023477248,KingvimalRaj,
836411162023477248,thebirong,"DKI Jakarta, Indonesia"
836411162023477248,itzdavdokay,United States
836411162023477248,Ikasasy24,"Malang, Indonesia"
836411162023477248,jenitaa_staxr,"Los Angeles, CA"
836411162023477248,juststronger_,"Roma, IT"
836410326866284544,andreahanun,Playa Maguadel
836410326866284544,Jay_McGuire13,
836410326866284544,viiikap,under ur skin
836410326866284544,madhu_illuri,"Tempe, AZ"
836410326866284544,KristinTJacobs,"La Salle, MI"
836410326866284544,xLindsayYoung,tol
836410326866284544,marmar444_,"CLE, OH"
836410326866284544,Shaneseah,Singapore
836410326866284544,MatiasVasquezP,"Santiago, Chile"
836410326866284544,sandraredss,
836410326866284544,EleBF99,
836410326866284544,bacallamarci,
836410326866284544,andreaa_Bee,
836410326866284544,harlsbarley,
836410326866284544,mlkayyy2,716
836410326866284544,grenzsantos,
836358612150689792,mmerisg,Dangerous Woman World Tour
836358612150689792,_alinefrb,"Manaus, Brasil"
836358612150689792,shaunparris28,
836358612150689792,DenizKonak61,Somewhere near my bed
836358612150689792,Ravleen_7,"Pune, India"
836358612150689792,MatiasVasquezP,"Santiago, Chile"
836358612150689792,bacallamarci,
836358612150689792,princess__lely,
836358612150689792,Hillary_meyrick,
836358612150689792,Niciii_W,
836358612150689792,adibiase_,
836358612150689792,kayla_Gagnon,Canada
836358612150689792,JewelLee1117,
836358612150689792,_akmalhisyam,Putrajaya/Shah Alam 
836358612150689792,ikramhorror,unknown 
836358612150689792,HeyFatinLatiff,Shah Alam
836358612150689792,NynaRaina,
836358612150689792,intan_plp,Madridista Indonesia  
836358385310146560,msicmvie1,
836358385310146560,Niciii_W,
836358385310146560,kayla_Gagnon,Canada
836358385310146560,MagconFeatJBD,BELIEBER WoRld
836358385310146560,ThaMaxx101,"Phoenix, AZ"
836358385310146560,BejjankiS,India
836358385310146560,urmomishott,a-Town
836358385310146560,Retetweet,
836358385310146560,Fernandaalenc14,
836358385310146560,enviroush,"#GrindCentralStation, CA"
